dist_code,dist_name,state_name,year,rainfall_jun,rainfall_jul,rainfall_aug,rainfall_sep,rainfall_kharif,rainfall_annual
20,Satna,Madhya Pradesh,2011,10.55,9.84,7.8,5.79,33.980000000000004,35.61
20,Satna,Madhya Pradesh,2012,1.3,12.04,14.63,6.43,34.4,36.16
20,Satna,Madhya Pradesh,2013,9.92,11.17,15.12,3.29,39.5,48.94
20,Satna,Madhya Pradesh,2014,2.02,7.37,4.9,5.39,19.68,28.27
20,Satna,Madhya Pradesh,2015,4.1,7.13,9.56,2.71,23.5,32.62
20,Satna,Madhya Pradesh,2016,1.94,18.97,18.38,6.36,45.65,48.739999999999995
20,Satna,Madhya Pradesh,2017,3.45,13.92,4.16,3.07,24.6,25.44
20,Satna,Madhya Pradesh,2018,2.59,11.59,10.54,5.42,30.14,32.0
20,Satna,Madhya Pradesh,2019,1.6,10.61,14.42,10.35,36.98,40.92
21,Shahdol,Madhya Pradesh,1990,10.34,10.0,8.64,9.17,38.15,45.83
21,Shahdol,Madhya Pradesh,1991,4.6,11.33,14.59,2.03,32.55,33.37
21,Shahdol,Madhya Pradesh,1992,2.74,8.84,11.53,7.61,30.72,33.72
21,Shahdol,Madhya Pradesh,1993,5.25,7.98,8.46,15.53,37.22,39.94
21,Shahdol,Madhya Pradesh,1994,9.97,14.38,12.11,6.05,42.51,45.63
21,Shahdol,Madhya Pradesh,1995,2.7,10.01,11.26,4.03,28.0,34.01
21,Shahdol,Madhya Pradesh,1996,4.76,9.71,11.37,2.69,28.53,34.27
21,Shahdol,Madhya Pradesh,1997,5.14,12.96,11.99,5.67,35.760000000000005,47.01
21,Shahdol,Madhya Pradesh,1998,2.46,7.95,7.91,9.41,27.73,34.77
21,Shahdol,Madhya Pradesh,1999,5.07,9.43,10.92,8.0,33.42,36.66
21,Shahdol,Madhya Pradesh,2000,6.09,7.17,3.47,4.93,21.66,24.009999999999998
21,Shahdol,Madhya Pradesh,2001,8.72,17.43,11.94,2.04,40.129999999999995,45.23
